ID,수요량
TEST_0000,224.38922
TEST_0001,47.42828
TEST_0002,383.67828
TEST_0003,181.47047
TEST_0004,196.50656
TEST_0005,201.53223
TEST_0006,171.31265
TEST_0007,787.77057
TEST_0008,162.82181
TEST_0009,345.83093
TEST_0010,83.89383
TEST_0011,83.12136
TEST_0012,126.65004
TEST_0013,185.27458
TEST_0014,111.465515
TEST_0015,50.51597
TEST_0016,50.103878
TEST_0017,386.18555
TEST_0018,173.47444
TEST_0019,31.057415
TEST_0020,65.32545
TEST_0021,60.012814
TEST_0022,64.58295
TEST_0023,43.879875
TEST_0024,379.1483
TEST_0025,62.549
TEST_0026,220.9548
TEST_0027,713.27
TEST_0028,780.93494
TEST_0029,423.00323
TEST_0030,347.6025
TEST_0031,443.35092
TEST_0032,61.604813
TEST_0033,69.493095
TEST_0034,465.5366
TEST_0035,1503.0562
TEST_0036,1012.18964
TEST_0037,647.3626
TEST_0038,91.12581
TEST_0039,421.86658
TEST_0040,94.96107
TEST_0041,46.72161
TEST_0042,417.33603
TEST_0043,67.023895
TEST_0044,1001.9633
TEST_0045,183.78944
TEST_0046,681.51416
TEST_0047,90.80119
TEST_0048,207.55067
TEST_0049,55.935417
TEST_0050,70.97211
TEST_0051,647.22955
TEST_0052,43.091633
TEST_0053,199.18654
TEST_0054,138.76903
TEST_0055,1199.8751
TEST_0056,39.368824
TEST_0057,105.57441
TEST_0058,254.25523
TEST_0059,2476.6936
TEST_0060,310.5868
TEST_0061,623.4781
TEST_0062,59.871643
TEST_0063,235.61208
TEST_0064,227.71722
TEST_0065,1019.85223
TEST_0066,188.81487
TEST_0067,61.93482
TEST_0068,595.1671
TEST_0069,389.18866
TEST_0070,268.991
TEST_0071,50.929234
TEST_0072,69.09515
TEST_0073,210.51944
TEST_0074,26.544008
TEST_0075,211.62491
TEST_0076,58.568745
TEST_0077,231.84013
TEST_0078,108.11246
TEST_0079,285.43436
TEST_0080,304.05356
TEST_0081,999.0323
TEST_0082,100.66973
TEST_0083,459.944
TEST_0084,88.22003
TEST_0085,44.97165
TEST_0086,267.04514
TEST_0087,66.415146
TEST_0088,65.40216
TEST_0089,70.91027
TEST_0090,41.53915
TEST_0091,396.04684
TEST_0092,527.7454
TEST_0093,114.26792
TEST_0094,123.02468
TEST_0095,414.80292
TEST_0096,549.75757
TEST_0097,44.53636
TEST_0098,284.50006
TEST_0099,596.79095
TEST_0100,43.28701
TEST_0101,205.03119
TEST_0102,43.09871
TEST_0103,473.37378
TEST_0104,70.15963
TEST_0105,63.55386
TEST_0106,153.56824
TEST_0107,816.4004
TEST_0108,204.28865
TEST_0109,139.2223
TEST_0110,104.72287
TEST_0111,85.24883
TEST_0112,143.06369
TEST_0113,582.7695
TEST_0114,67.542
TEST_0115,625.3322
TEST_0116,921.7832
TEST_0117,61.339294
TEST_0118,265.77966
TEST_0119,322.93738
TEST_0120,412.84598
TEST_0121,68.88117
TEST_0122,340.16647
TEST_0123,58.56478
TEST_0124,536.2382
TEST_0125,61.15476
TEST_0126,132.69664
TEST_0127,173.87831
TEST_0128,235.65889
TEST_0129,398.88818
TEST_0130,238.63562
TEST_0131,79.159874
TEST_0132,306.00784
TEST_0133,164.89235
TEST_0134,82.81949
TEST_0135,554.32086
TEST_0136,54.88625
TEST_0137,25.229239
TEST_0138,51.663727
TEST_0139,375.48087
TEST_0140,572.2189
TEST_0141,181.85208
TEST_0142,1243.2328
TEST_0143,54.071114
TEST_0144,376.41714
TEST_0145,280.13858
TEST_0146,38.776188
TEST_0147,476.23712
TEST_0148,401.97726
TEST_0149,171.10097
TEST_0150,52.442303
TEST_0151,659.63385
TEST_0152,36.398006
TEST_0153,43.73594
TEST_0154,60.813137
TEST_0155,136.30185
TEST_0156,26.266062
TEST_0157,51.673744
TEST_0158,296.0027
TEST_0159,75.707794
TEST_0160,237.56691
TEST_0161,103.09114
TEST_0162,184.52776
TEST_0163,56.29793
TEST_0164,106.5165
TEST_0165,47.889614
TEST_0166,143.47777
TEST_0167,37.360195
TEST_0168,52.179882
TEST_0169,224.65688
TEST_0170,82.61712
TEST_0171,1138.8785
TEST_0172,239.98569
TEST_0173,541.0648
TEST_0174,350.62885
TEST_0175,456.88855
TEST_0176,397.3196
TEST_0177,48.98957
TEST_0178,83.18768
TEST_0179,493.48767
TEST_0180,119.95956
TEST_0181,284.52155
TEST_0182,494.1661
TEST_0183,38.9524
TEST_0184,389.70746
TEST_0185,178.52252
TEST_0186,672.8848
TEST_0187,57.452087
TEST_0188,390.01077
TEST_0189,95.83665
TEST_0190,107.025665
TEST_0191,35.048622
TEST_0192,693.2943
TEST_0193,44.435284
